MDL16CS104   CY100(B), BE100(B), EC100(C), CY110(A), EC110(B+), MA102(A), BE102(B+), CS100(B+),
MDL16CS105   CY100(A+), BE100(B+), EC100(B+), CY110(O), EC110(A+), MA102(B+), BE102(A), CS100(B+),
MDL16CS106   CY100(B+), BE100(B), EC100(B+), CY110(O), EC110(O), MA102(B+), BE102(A+), CS100(A+),
MDL16CS107   CY100(A+), BE100(B+), EC100(B+), CY110(A+), EC110(A), MA102(A), BE102(B+), CS100(A+),
MDL16CS108   CY100(A), BE100(A), EC100(B+), CY110(O), EC110(O), MA102(O), BE102(B+), CS100(A),
MDL16CS109   CY100(A), BE100(A), EC100(O), CY110(O), EC110(O), MA102(O), BE102(A), CS100(O),
MDL16CS110   CY100(O), BE100(B+), EC100(O), CY110(O), EC110(O), MA102(O), BE102(B+), CS100(O),
MDL16CS111   CY100(B+), BE100(B), EC100(A), CY110(O), EC110(A), MA102(A+), BE102(A+), CS100(O),
MDL16CS112   CY100(A+), BE100(B), EC100(B+), CY110(O), EC110(A+), MA102(A+), BE102(A), CS100(B+),
MDL16CS113   CY100(B), BE100(B), EC100(F), CY110(O), EC110(O), MA102(B+), BE102(B+), CS100(A),
MDL16CS114   CY100(B+), BE100(B), EC100(B+), CY110(O), EC110(A+), MA102(B+), BE102(B+), CS100(A),
MDL16CS115   CY100(A), BE100(B), EC100(B), CY110(O), EC110(A), MA102(A), BE102(A), CS100(B+),
MDL16CS116   CY100(B), BE100(B), EC100(C), CY110(A+), EC110(B+), MA102(B+), BE102(B+), CS100(A+),
MDL16CS117   CY100(A), BE100(B), EC100(B+), CY110(O), EC110(O), MA102(O), BE102(A), CS100(A),
MDL16CS118   CY100(A+), BE100(B), EC100(B), CY110(O), EC110(O), MA102(A), BE102(B+), CS100(A),
MDL16CS119   CY100(B+), BE100(B), EC100(B+), CY110(O), EC110(O), MA102(O), BE102(A), CS100(A+),
MDL16CS120   CY100(B+), BE100(B+), EC100(B), CY110(A+), EC110(B+), MA102(B+), BE102(B), CS100(A+),
MDL16CS121   CY100(P), BE100(F), EC100(F), CY110(A+), EC110(B+), MA102(F), BE102(A), CS100(C),
MDL16CS122   CY100(B+), BE100(B), EC100(A), CY110(O), EC110(O), MA102(B+), BE102(A), CS100(A),
MDL16CS123   CY100(A+), BE100(B+), EC100(B+), CY110(A+), EC110(A), MA102(A), BE102(A+), CS100(A),
